name,filename,year,concur,legal_issue
"Riley v. California, 573 U.S. 373","riley_vs_california.txt",2014,True,"Due Process"
"Shelby County v. Holder, 570 U.S. 529","shelby_county_vs_holder.txt",2013,True,"Voting & Elections"
"Snyder v. Phelps, 562 U.S. 443","snyder_vs_phelps.txt",2011,True,"Free Speech"
"Citizens United v. FEC, 558 U.S. 310","citizens_united_vs_FEC.txt",2010,True,"Free Speech"
"Boumediene v. Bush, 553 U.S. 723","boumediene_vs_bush.txt",2008,False,"Immigration"
"Massachusetts v. EPA, 549 U.S. 497","massachusetts_vs_epa.txt",2007,False,"Statutory Interpretation"
"Dobbs v. Jackson Women's Health Organization, 597 U.S.","dobbs_vs_jackson.txt",2022,True,"Due Process"
"Fischer v. United States, 603 U.S.","fischer_vs_us.txt",2024,True,"Due Process"
"Fulton v. Philadelphia, 593 U.S.","fulton_vs_philadelphia.txt",2021,True,"Religion"
"Lackey v. Stinnie, 604 U.S.","lackey_vs_stinnie.txt",2025,True,"Due Process"
"Loper Bright Enterprises v. Raimondo, 603 U.S.","loper_bright_enterprises_vs_raimondo.txt",2024,True,"Government Agencies"
"Obergefell v. Hodges, 576 U.S. 644","obergefell_vs_hodges.txt",2015,False,"Due Process"
"SEC v. Jarkesy, 603 U.S.","sec_vs_jarkesy.txt",2024,True,"Due Process"
"Thompson v. United States, 604 U.S.","thompson_vs_us.txt",2025,True,"Statutory Interpretation"
"Trump v. United States, 603 U.S.","trump_vs_us.txt",2024,True,"Separation of Powers"
"Trump v. Hawaii, 585 U.S.","trump_vs_hawaii.txt",2018,True,"Immigration"